query,prod_nm,prod_mid,profit,ctr,profit_rank
esim,【50% OFF】日本 eSIM 無限流量 Rakuten / KDDI / Docomo,121004,1304,15.87,1
esim,【超人氣熱銷 50% OFF】中港澳5G/4G eSIM｜每日流量/總量/無限流量 eSIM｜免翻牆使用｜支援ChatGPT,135627,1100,17.69,2
esim,KDDI 5G 高速原生日本eSIM｜支援ChatGPT,243815,549,10.42,3
esim,【50% OFF】韓國 eSIM 全韓國通用｜5G/4G無限流量｜KT SKT 支援保證穩定｜支援ChatGPT,138273,336,16.68,4
esim,【超人氣熱銷 50% OFF】中國大陸 5G/4G eSIM｜三大電信任選・信號覆蓋最廣・免翻牆｜1–30天超多方案｜支援 ChatGPT,547059,279,13.27,5
esim,【50% OFF】日本 eSIM｜Docomo / KDDI / SoftBank / Rakuten｜支援ChatGPT 及 Gemini,137689,219,12.62,6
esim,【飛速5G超快感 熱銷第一吃到飽】新馬泰越印尼 eSIM卡｜免實名 即買即用｜kkday獨家1-100天,154313,199,8.96,7
esim,KDDI (au)日本 eSIM｜無限流量 5G 高速上網｜全球最傑出的網路體驗,530339,174,16.2,8
esim,【50% OFF】日本 eSIM｜SoftBank 5G 高速無限流量｜日本原生網路支援 ChatGPT 及 Gemini,149025,143,11.5,9
esim,【55元起 飛速5G超快感】 港澳中國eSIM吃到飽｜免翻牆網卡｜即買即用｜KKday獨家1-100天,160292,142,18.62,10
上高地,黑部立山三日遊｜立山黑部阿爾卑斯山路線雪牆＆上高地＆白川鄉合掌村＆高山&金澤兼六園｜名古屋出發（含立山黑部六種交通工具票券）,158778,1293,8.96,1
上高地,黑部立山雪牆絕景二日遊|立山黑部阿爾卑斯山路線大雪谷&秘境上高地（日本名古屋出發）,161560,298,8.21,2
上高地,日本北陸 秘境日本阿爾卑斯山上高地一日遊｜名古屋往返,528127,234,21.26,3
上高地,【含 1 人成團方案】日本中部北陸絕景二日遊｜黑部峽谷鐵道小火車＆上高地＆白川鄉合掌村＆飛驒高山古街｜名古屋出發,165023,184,11.61,4
上高地,【限量促銷】黑部立山雪牆絕景二日遊｜立山黑部阿爾卑斯山路線大雪谷＆上高地＆白川鄉合掌村＆飛騨高山古街＆金澤兼六園＆東茶屋街｜日本名古屋出發（含立山黑部六種交通工具票券）,573405,178,10.66,5
上高地,日本長野｜日本阿爾卑斯上高地一日遊｜名古屋出發,135474,145,25.55,6
上高地,日本長野上高地自然健行一日遊｜大正池・河童橋・明神池（名古屋出發）,154521,103,29.87,7
上高地,日本北陸上高地一日遊｜名古屋出發（自由行、無領隊）,574064,41,19.69,8
上高地,上高地一日遊巴士旅遊　約停留4小時（名古屋出發）,173161,25,18.69,9
上高地,上高地一日遊巴士之旅【東京出發】,536053,15,20.83,10
九州,【 福岡抗漲・限量席次 】亞洲航空・桃園出發｜九州福岡 5 天計劃機票・１人成行｜自選超值方案＆加贈好禮,154340,564,8.18,1
九州,九州大分一日遊｜太宰府天滿宮・別府纜車・由布院（湯布院）・湯平街道・金鱗湖｜可預約由布院之森觀光列車（福岡出發）,248949,513,12.33,2
九州,【1人成團】九州大分由布院＆別府地獄一日遊｜金鱗湖・九州自然動物園・博多出發（可選由布院之森列車）,175897,251,16.04,3
九州,【1人成團】九州高千穗一日遊｜可選高千穗峽谷遊船&高千穗小火車&阿蘇山&草千里（熊本出發）,285725,159,12.41,4
九州,【 嗨玩大九州 】台灣虎航・桃園出發│佐賀＆大分＆宮崎 5日計畫票│贈唐吉軻德優惠券・不含機上餐,133005,126,4.5,5
九州,Fun Tour 九州巴士輕鬆遊｜雷山千如寺、 柳川、太宰府、竈門神社｜語音導覽服務,538560,108,6.06,6
九州,【1人成團】九州宮崎一日遊｜上色見熊野座神社・高千穗峽・天岩戸神社・天安河原｜限時送和式點心・含免費接駁車（福岡出發）,182363,105,14.43,7
九州,九州高千穗一日遊｜高千穗峽/可選遊船體驗&高千穗小火車&天安河原｜中英文導遊（福岡出發）,181723,101,12.47,8
九州,九州熊本一日遊｜熊本城・草千里・阿蘇中岳火山口・阿蘇男孩觀光列車｜含火山口交通（福岡、熊本出發）,248950,82,11.41,9
九州,由布院之森｜九州湯布院小鎮&特色列車體驗&海地獄&太宰府一日遊（中英文導遊）｜福岡出發,574423,63,7.81,10
京都,【1人成團】日本京都天橋立一日遊｜伊根灣遊船・伊根舟屋/美山茅草屋之里｜伊根灣遊船・可選鮑魚或半蟹海鮮鍋｜大阪難波／京都出發,155289,979,18.93,1
京都,日本天橋立一日遊｜京都伊根舟屋＆伊根灣遊船｜可選含纜車＆遊船設施門票（大阪/京都出發）,25439,688,10.88,2
京都,日本三景京都天橋立一日遊｜天橋立觀景台・智恩寺・伊根舟屋・伊根灣遊船｜可選含纜車與遊船票方案｜贈每人蝦條｜大阪/京都出發,145830,582,11.84,3
京都,關西 京都一日遊｜金閣寺・清水寺・伏見稻荷神社・千本鳥居｜可大阪或京都上下車・保證出發,142572,314,13.55,4
京都,關西機場特快 HARUKA 車票,18940,218,12.44,5
京都,【一人成行京都出發】京都秘境一日遊｜美山合掌村、天橋立、伊根舟屋｜（將滿額請儘早訂購）,162588,202,14.72,6
京都,【大阪出發】勝尾寺祈福達摩・京都嵐山・清水寺二年坂三年坂｜午餐可升級獨家A5頂級黑毛和牛「神戶牛」・贈送京都抹茶體驗(大阪/京都兩地下車),284721,185,9.75,7
京都,日本｜大阪、京都、奈良出發10小時來回包車一日遊,133661,161,10.97,8
京都,日本京都大阪名勝一日遊｜勝尾寺祈願・金閣寺巡禮・嵐山美景遊（大阪或京都出發）,286142,154,10.41,9
京都,【含 1 人成團方案】｜京都嵐山半日遊・嵐山小火車＆保津川遊船＆京馬車,12189,128,14.04,10
北海道,【客製化多日包車】日本東京/大阪/名古屋/北海道等地區全客製化DIY自由行,138986,772,3.21,1
北海道,北海道一日遊 | 洞爺湖溫泉街＆登別地獄谷＆昭和新山＆支笏湖 | 可選購熊牧場方案（ 札幌出發）,11257,517,16.62,2
北海道,【期間限定】北海道｜洞爺湖花火大會一日遊｜洞爺湖煙火大會&昭和新山&Lake Hill Farm（札幌出發）,171435,346,15.95,3
北海道,北海道 | 北海道祕境與美食之旅 | 3晚4天，遊覽17處景點，包括知床、野付半島、釧路濕地和野佐風岬（北海道最東端）等世界遺產！ （東京出發或在釧路機場集合）,160356,259,15.82,4
北海道,【含 1 人成團方案～早鳥限時特惠｜45%OFF】北海道富良野一日遊｜富田農場彩虹花田&美瑛四季彩之丘&白金青池｜札幌出發,155294,226,16.88,5
北海道,北海道一日遊｜旭山動物園・精靈露台・四季彩之丘 或 青池＋白須瀑布｜含旭山動物園門票、贈送冷飲或熱飲（札幌出發）,135996,196,13.15,6
北海道,北海道富良野一日遊｜富田農場、四季彩之丘、青池、北海道特色自助餐（可加選哈密瓜吃到飽）｜札幌出發【中英文導遊】,11364,189,15.99,7
北海道,北海道美瑛富良野一日遊｜四季彩之丘＋白鬚瀑布＋聖誕樹＋森林精靈露台｜札幌出發｜可選含自助午餐,247083,168,12.31,8
北海道,酷航空・桃園出發｜北海道機加酒自由行 6 日・自選市區飯店＆入住天數｜1人成行・午去晚回 （TR892＋TR893）,160795,148,4.45,9
北海道,酷航・桃園出發｜日本北海道 6 天＆7 天計劃機票・自選超值方案｜1 人成行・含行李 （TR892＋TR893）,135442,144,9.94,10
北海道包車,【客製化多日包車】日本東京/大阪/名古屋/北海道等地區全客製化DIY自由行,138986,1268,28.84,1
北海道包車,日本北海道包車 | 札幌市區/富良野/洞爺湖/小樽等客製化包車一日游,134747,819,46.57,2
北海道包車,北海道包車服務｜新千歲機場CTS至札幌及周邊城市接送,260293,137,25.13,3
北海道包車,北海道包車｜札幌/小樽/洞爺湖/登別/富良野/美瑛/旭川/星野/函館等｜客製化行程,551974,45,26.71,4
北海道包車,日本北海道包車 | 一日10小時客製化包車 札幌市區＆富良野＆洞爺湖＆郊區,30028,0,28.24,5
北海道包車,日本北海道一日遊｜札幌市區・郊區 10 小時包車｜中文/日文/英文司機,19419,0,21.21,6
北海道包車,KKday 日本北海道客製化包車｜札幌・富良野・登別・小樽・函館等熱門景點｜一日遊至多日行程自由搭配(諮詢頁面),284934,0,13.86,7
北海道包車,北海道包車一日遊|札幌、富良野、美瑛、旭川等,286985,0,10.53,8
北海道包車,【綠牌正規運營】日本北海道函館包車｜函館／登別／洞爺湖｜客製化包車服務,570105,0,20.88,9
北海道包車,日本函館包車半日遊｜函館山夜景｜函館市區出發,101088,0,4.55,10
合掌村,【1人成團】日本白川鄉合掌村一日遊｜可選直達展望台＋飛驒高山老街巡禮｜名古屋出發,526215,1314,47.01,1
合掌村,【限量促銷】黑部立山雪牆絕景二日遊｜立山黑部阿爾卑斯山路線大雪谷＆上高地＆白川鄉合掌村＆飛騨高山古街＆金澤兼六園＆東茶屋街｜日本名古屋出發（含立山黑部六種交通工具票券）,573405,378,9.47,2
