query,prod_nm,prod_mid,profit,ctr,profit_rank
101觀景台,台北101觀景台門票,8332,17,83.78,1
Airporter,關西國際機場 ( KIX ) ・大阪・京都市區旅館 / 行李配送・Airporter 手提行李當天配送服務 ( 大阪・京都・行李配送服務 ),145963,72,37.85,1
Airporter,日本東京｜行李當日配送服務｜東京都內飯店—羽田機場・成田機場・飯店・東京車站｜空手觀光,115284,35,41.48,2
Airporter,日本沖繩｜那霸機場 - 旅館行李當日配送服務｜限時優惠,115283,6,12.06,3
BTS,【KKday獨家】BTS WORLD TOUR ARIRANG IN 釜山演唱會接駁巴士：首爾/釜山⇔場館往返、單程及演唱會後仁川機場送機（即時確認）,573175,63,56.94,1
BTS,曼谷BTS一日券,141557,28,8.79,2
BTS,2026 BTS WORLD TOUR 釜山演唱會往返接駁巴士（首爾出發）,572880,21,39.82,3
BTS,2026 BTS WORLD TOUR 釜山演唱會往返接駁巴士（釜山出發）,572881,5,32.64,4
Bangkok,【BIG1優惠】泰國機場 BKK 入境 meet and greet 快速接待服務,154909,10,0.0,1
Bangkok,【泰國】機場包車接送 | 廊曼/素萬那普機場 ↔ 曼谷市區/巴吞他尼府/芭達雅/考艾/華欣/七岩/大城府/羅勇府/北碧府,134096,3,9.38,2
Bangkok,【50% OFF人氣熱銷】亞洲多國通用 5G eSIM｜中日韓新馬泰印越菲｜支援ChatGPT,135661,1,0.0,3
Bts,【KKday獨家】BTS WORLD TOUR ARIRANG IN 釜山演唱會接駁巴士：首爾/釜山⇔場館往返、單程及演唱會後仁川機場送機（即時確認）,573175,88,62.36,1
Bts,2026 BTS WORLD TOUR 釜山演唱會往返接駁巴士（首爾出發）,572880,22,36.21,2
Bts,曼谷BTS一日券,141557,11,11.42,3
Bts,2026 BTS WORLD TOUR 釜山演唱會往返接駁巴士（釜山出發）,572881,9,35.92,4
Bts,泰國曼谷BTS 空鐵兔子卡 Rabbit Card,264846,1,2.74,5
Busan,釜山通行證 VISIT BUSAN PASS,138477,90,41.86,1
Busan,釜山遊艇體驗｜廣安里 海雲台 共乘遊艇｜Yacht Holic,134684,14,22.22,2
Busan,韓國釜山｜海雲台藍線公園海岸列車・天空膠囊列車票,123012,10,29.03,3
Busan,釜山斜坡滑車門票,152412,5,20.0,4
DMZ,DMZ 非軍事區之旅｜共同警備區博物館、都羅展望台、第三隧道｜首爾出發,144143,180,53.77,1
DMZ,DMZ｜非軍事地帶一日遊,140484,83,31.76,2
DMZ,首爾：DMZ愛姬峰星巴克、韓屋及風景/歷史一日遊,271271,12,21.05,3
Dmm,日本沖繩 DMM Kariyushi 水族館門票,173162,248,73.31,1
Dmm,日本沖繩 DMM Kariyushi 水族館門票｜加贈冰淇淋兌換券,527376,53,53.27,2
Dmm,【1人成行】Fun Pass 沖繩巴士｜沖繩世界、系滿魚市場、DMM水族館、瀨長島一日遊｜語音導覽服務,268675,13,11.64,3
