query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
新幹線,False,7366,JR PASS 東日本鐵路周遊券,6681,35,9.76,,,,
Skyliner,False,6266,【機場市區交通】京成 Skyliner（單程）,7913,626,86.64,,,,
Sky,False,5166,澀谷SHIBUYA SKY展望台門票,133300,10,80.66,【機場市區交通】京成 Skyliner（單程）,7913,1,36.97
Haruka,False,4494,關西機場特快 HARUKA 車票,18940,562,88.06,阿倍野展望台門票 HARUKAS 300,19513,5,4.33
大陸,False,4326,【超人氣熱銷 50% OFF】中國大陸 5G/4G eSIM｜三大電信任選・信號覆蓋最廣・免翻牆｜1–30天超多方案｜支援 ChatGPT,547059,177,48.83,【最高57折】giga! 中國大陸旅行 eSIM | 免翻牆,569772,1,12.74
吉卜力,True,4271,日本吉卜力公園門票（標準／高級大散步券）｜任搭一日遊或住宿套裝方案 © Studio Ghibli,139872,376,45.53,日本東京｜三鷹之森吉卜力美術館＆井之頭公園・漫步半日遊｜保證入園,21611,22,19.41
麗寶,False,3811,高鐵假期｜台中麗寶樂園1日,183476,6,21.6,台中麗寶國際賽車場｜賽道自駕車體驗,131103,5,2.96
101,False,3721,台北101觀景台門票,8332,512,69.38,【沿著平溪線去旅行】野柳、平溪十分、九份拼車一日遊,2287,52,2.26
E,False,3431,【50% OFF】韓國 eSIM 全韓國通用｜5G/4G無限流量｜KT SKT 支援保證穩定｜支援ChatGPT,138273,4,0.0,【50% OFF】日本 eSIM 無限流量 Rakuten / KDDI / Docomo,121004,2,0.0
skyliner,False,3320,【機場市區交通】京成 Skyliner（單程）,7913,462,67.76,京成電鐵 Skyliner・桃園機場捷運・東京地鐵・台北捷運,243092,2,9.73
南海,False,3238,大阪關西機場 KIX 南海電鐵機場快線 Rapi:t 電子車票,19691,96,76.79,,,,
haruka,False,3161,關西機場特快 HARUKA 車票,18940,389,67.28,阿倍野展望台門票 HARUKAS 300,19513,20,3.3
Shibuya sky,False,3035,澀谷SHIBUYA SKY展望台門票,133300,60,91.26,,,,
澀谷sky,False,2935,澀谷SHIBUYA SKY展望台門票,133300,66,82.97,,,,
機加酒,False,2905,【 新飯店好評開賣 】台灣虎航・桃園出發｜日本石垣島自選市區飯店 4 日＆ 5 日自由行｜１人成行・含行李,133196,119,8.47,"【 限量搶購・10,999起 】亞洲航空・桃園出發｜大阪市區自選飯店機加酒自由行 4 日& 5 日｜含行李",183846,86,10.94
Xpark,False,2854,桃園Xpark水族館門票,101517,234,85.42,桃園 Blu Night 宿海奇遇｜ Xpark 體驗,127485,92,9.76
清艙,False,2812,樂桃航空・桃園出發｜日本沖繩 4 天計劃機票＋自選超值方案｜自選航班組合・１人成行含行李,134520,66,8.13,,,,
東,False,2802,【機場市區交通】京成 Skyliner（單程）,7913,23,0.0,,,,
海生館,True,2781,夜宿屏東海生館體驗｜標準行程・季節套裝行程,1894,309,19.68,屏東海生館｜國立海洋生物館門票,9468,245,59.85
水舞間,False,2608,澳門新濠天地水舞間門票 House of Dancing Water,4366,6324,79.23,,,,
綠世界,False,2412,新竹綠世界生態農場門票,101863,295,76.83,,,,
義大,False,2398,高雄義大遊樂世界門票,8700,61,59.03,,,,
釜,False,2184,釜山斜坡滑車門票,152412,12,50.0,,,,
小人國,False,2167,小人國主題樂園門票,27980,350,75.6,,,,
南海電鐵,False,2155,大阪關西機場 KIX 南海電鐵機場快線 Rapi:t 電子車票,19691,195,76.77,,,,
淡水,False,2106,KKday 線上獨家｜藍色公路微旅行｜大稻埕史蹟導覽＆乘船漫遊淡水河＋船上導覽,103379,1,13.68,,,,
八達通,False,2104,【香港必備交通票券】香港八達通卡 - 含HKD50餘額｜桃園、高雄小港機場領取 / 台灣寄送,149524,91,37.28,香港旅客八達通卡(升級版) - 含HKD50餘額｜香港機場領取｜暢遊港澳&大灣區,8962,51,55.3
迷你團,False,1952,KKday迷你團自由配・嗨玩九州迷你團 5 日｜2～8 人成行、專車不併團、熱門路線自由配含福岡接送機、自選加購太宰府柳川暢遊套票｜亞洲航空・桃園出發,531006,1044,10.45,,,,
涉谷,False,1850,澀谷SHIBUYA SKY展望台門票,133300,17,83.89,東京地鐵三日券/二日券/一日券 Tokyo Subway Ticket,5989,5,6.3
百果山,False,1818,彰化百果山探索樂園門票,116315,374,81.49,,,,
手作,False,1786,【手作體驗】台北｜土耳其馬賽克燈DIY｜贈全台獨家土耳其傳統服飾換裝｜網紅圖佳推薦｜1人成行,137363,14,5.62,新北石碇許家麵線｜流水麵、手作麵線・蔥油餅 DIY 體驗｜新北親子景點,28515,6,4.19
台胞證,False,1725,首來族中國卡式台胞證代辦服務 I 贈esim/wifi優惠碼&現場親送再贈棚拍,38443,115,61.5,【中國大陸簽證】首來族卡式台胞證代辦服務｜贈國外esim/wifi折扣碼&現場親送再贈棚拍,139716,49,36.44
波特羅,False,1686,圓潤的魔法 波特羅特展 門票,579180,137,76.47,,,,
尚順,False,1651,苗栗尚順育樂世界門票,27174,290,59.85,苗栗親子飯店｜尚順君樂飯店 Grand Royal Hotel｜贈 全台最大室內主題遊樂園 入場券,166162,203,30.4
松島纜車,False,1628,釜山通行證 VISIT BUSAN PASS,138477,243,8.0,韓國釜山｜松島海上纜車來回門票,19674,114,82.87
九族,False,1611,南投九族文化村門票,18440,95,62.38,,,,
計劃票,False,1585,酷航・桃園出發｜日本北海道 6 天＆7 天計劃機票・自選超值方案｜1 人成行・含行李 （TR892＋TR893）,135442,43,7.26,限量優惠・桃園出發｜日本東京 5 天 & 6天計劃機票｜酷航・含行李,135223,9,14.89
shibuya sky,False,1574,澀谷SHIBUYA SKY展望台門票,133300,20,67.47,,,,
全家,False,1569,【米其林必比登推薦】台北｜雙月食品社 MoonMoonFood｜養生湯品,146650,1,9.09,,,,
A01-001,False,1547,【沿著平溪線去旅行】野柳、平溪十分、九份拼車一日遊,2287,25,2.33,,,,
Ha,False,1476,關西機場特快 HARUKA 車票,18940,3,0.0,,,,
F1,False,1425,F1 新加坡航空新加坡大獎賽 2026 於濱海灣市街賽道︱Formula 1 新加坡,129639,869,59.83,,,,
Chiikawa,False,1401,【KKday獨家】香港 Chiikawa Ramen Buta (吉伊卡哇) 拉麵｜預約證含飲品券｜預約即送香港限定角色卡｜旺角朗豪坊,527375,1,3.13,【KKday獨家特惠】吉伊卡哇拉麵豚池袋店入場券（含黑烏龍茶）,529231,1,18.18
kkday,False,1391,【50% OFF】日本 eSIM 無限流量 Rakuten / KDDI / Docomo,121004,7,0.93,,,,
