query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
新幹線,False,8374,JR PASS 東日本鐵路周遊券,6681,17,10.12,日本吉卜力公園門票（標準／高級大散步券）｜任搭一日遊或住宿套裝方案 © Studio Ghibli,139872.0,0.0,1.69
Skyliner,False,5670,【機場市區交通】京成 Skyliner（單程）,7913,33,87.49,京成電鐵 Skyliner・桃園機場捷運・東京地鐵・台北捷運,243092.0,0.0,13.12
吉卜力,True,4728,日本吉卜力公園門票（標準／高級大散步券）｜任搭一日遊或住宿套裝方案 © Studio Ghibli,139872,262,42.51,【名古屋吉卜力公園/樂高樂園接送】日本｜名古屋市內飯店⮂吉卜力公園Ghibli Park/  樂高樂園 ⁄長島溫泉樂園/長島三井奧萊/名古屋出發鈴鹿賽道/鈴鹿賽車場樂園,162094.0,35.0,22.87
Haruka,False,4607,關西機場特快 HARUKA 車票,18940,653,87.53,阿倍野展望台門票 HARUKAS 300,19513.0,0.0,2.3
澀谷,True,4518,澀谷SHIBUYA SKY展望台門票,133300,20,70.68,SKY HOP BUS 觀光巴士｜一日券/兩日券 無限次搭乘（東京 自由上下車）,2048.0,11.0,9.64
Sky,False,4490,澀谷SHIBUYA SKY展望台門票,133300,5,79.5,釜山通行證 VISIT BUSAN PASS,138477.0,0.0,0.27
大陸,False,4252,【超人氣熱銷 50% OFF】中國大陸 5G/4G eSIM｜三大電信任選・信號覆蓋最廣・免翻牆｜1–30天超多方案｜支援 ChatGPT,547059,185,46.58,【最高57折】giga! 中國大陸旅行 eSIM | 免翻牆,569772.0,1.0,11.93
E,False,3824,【50% OFF】韓國 eSIM 全韓國通用｜5G/4G無限流量｜KT SKT 支援保證穩定｜支援ChatGPT,138273,4,0.0,【50% OFF】日本 eSIM 無限流量 Rakuten / KDDI / Docomo,121004.0,2.0,0.0
麗寶,False,3695,福容大飯店 - 麗寶樂園,303240,43,10.66,台中麗寶國際賽車場｜賽道自駕車體驗,131103.0,5.0,2.46
南海,False,3676,大阪關西機場 KIX 南海電鐵機場快線 Rapi:t 電子車票,19691,82,70.92,嘉義布袋 - 澎湖船票｜澎湖自由行｜持憑證享南海燒烤優惠,101123.0,0.0,0.7
haruka,False,3406,關西機場特快 HARUKA 車票,18940,416,64.58,阿倍野展望台門票 HARUKAS 300,19513.0,19.0,2.14
水舞間,True,3249,澳門新濠天地水舞間門票 House of Dancing Water,4366,6052,77.97,【澳門酒店優惠】雅辰酒店 Artyzen Grand Lapa Macau｜指定方案含新濠天地水舞間門票,141865.0,0.0,11.76
樂天世界,True,3081,首爾樂天世界門票,2948,816,71.95,首爾樂天世界塔觀景台 Seoul Sky 門票,19685.0,40.0,5.97
六福村,False,3050,六福村主題遊樂園門票,6370,338,63.86,六福村接駁直達特快車｜六福村門票加接駁｜4人成行,26191.0,33.0,18.25
skyliner,False,3035,【機場市區交通】京成 Skyliner（單程）,7913,63,67.26,京成電鐵 Skyliner・桃園機場捷運・東京地鐵・台北捷運,243092.0,2.0,9.44
